disease,symptom
C0030567, C1321756 C0085639 C0427008 C0424092 C0085631 C0018991 C1299586 C0241526 C0039070 C0427055 C0149746 C0233481 C0013144 C0018965 C0040822 C0028081 C0577559
C0024299, C0221198 C0015967 C0221232 C1096646 C0043096 C0004134 C0040264 C0020303 C0429562 C0019079 C0015672 C0085602 C0241705
C0020456, C0234233 C0033774 C0235129 C0241157 C0332601 C0043096 C0344315 C0239301 C0043144 C0003962 C0036572
C0085584, C0242143 C0232766 C0019080 C0013144 C0424530 C0872410 C0236018 C0270844 C0742985 C0239110 C0241526 C0205400 C0086439
C0040961, C0392680 C0030193 C0042963 C0027497 C0428977 C0000737 C0015967 C0008767 C0264576 C0338656
C0002395, C0013132 C0085631 C0028084 C0035508 C0239110 C0235231 C0425251 C0871754 C0234379 C0020461 C0427055 C0541992 C0231530 C0558195 C0040822 C0010200 C0015967
C0006840, C0011991 C0242429 C0043096 C0085593 C0018681 C0232498 C0376405 C0085636 C0028081 C0221150 C0149758 C1096646 C0850149 C0559546 C1291077
C0442874, C0004093 C0028643 C0027498 C0541798 C0020303 C0429562 C0231230 C0232726 C0030193 C0232854
C0022658, C0392680 C0020461 C0008031 C0015967 C0232995 C0151706
C0023267, C0233071 C0019080 C0156543 C0232943 C0026827 C0232997 C0392680 C0015967 C0018834 C0860096 C0702118 C1405524
C0017601, C0085639 C0000731 C1273573 C0030554 C0020625 C0085631 C0041657 C0085624 C0221198 C0577559
C0027627, C0205400 C1269955 C1513183 C0007859 C0034079 C0030193 C0000737 C0149696 C0577559 C0741302
C0007102, C0221198 C0242453 C0009806 C0858924 C0011991 C0000737 C0152032 C0857087 C0278146 C0428977 C0042963 C0694547 C0027497 C0235250 C0085602
C0011880, C0032617 C0042963 C0027497 C0000737 C0443260 C0235129 C0232517 C0027769 C0232498 C0232605 C0344232 C0152032 C0011991 C0036572 C0236018
C0014549, C0013144 C0542073 C0027066 C0040822 C0751466 C0522336 C0234450 C0019572 C0554980 C0231530 C0241526 C0018681 C0002416 C0424530 C0037763 C0043096 C1269955
C0006826, C0232118 C1291692 C0577559 C0221198 C0018834 C0028081 C0205400 C0085593 C0029053 C0000737 C0541911 C0149696 C0476273 C0020649
C1145670, C0018991 C0037384 C0241526 C0239134 C0013404 C0231835 C0020461 C0086439 C0232201 C0427108 C0006318 C0239110 C0392680 C0221198 C0332575
C0025202, C0577559 C0221166 C0015967 C0232995 C0030193 C0033774 C0024103 C0042963 C0011991
C0017160, C0000737 C0476287 C0027497 C0043096 C0234233 C0240962 C0015967 C0231528 C0020625 C0232602 C0577559 C0043096
C0242379, C0221198 C0010200 C0034079 C0392680 C0019079 C0742985 C0232517 C0234238 C0034642 C0028081 C0029053 C0004093 C1513183 C0085631 C0022107
C0024713, C0455769 C0438696 C0917799 C0424000 C0948786 C0233762 C0233763 C0233492 C0424068 C0150041 C1299586 C0231187 C0558089 C0438696 C0424000
C0031212, C0028084 C0150041 C0558141 C0233762 C0022107 C0917801 C0085631 C0424109 C0344315 C1384489 C0027498 C0277794 C0748706 C0233481 C0014394 C0237154 C0027769 C0003962 C0033774
C0019204, C0577559 C0038002 C0221198 C0030552 C1269955 C0848277 C0019080 C0205400 C0085632 C0006625 C0020672 C0000737 C0019209 C0744727 C0085628 C0043096 C0392680 C0010200
C0034067, C0474395 C0241158 C0231807 C0520966 C0231528 C0020440 C0392162 C0557075 C0848277 C0859032 C0028081 C0006625 C0436331 C0013404 C0034642 C0016382 C0221150 C0003862 C0008301 C0232726 C0009806
C0019112, C0019080 C0232695 C0278014 C0027498 C0020175 C0011991 C0012833 C0020625 C0009024 C0030193 C1321756 C0085624 C0744492 C0239832 C0043144 C0010200
C0006266, C0392680 C0241158 C0277797 C0262581 C0030193 C0239134 C0242429 C0013404 C0232292 C0700292 C0231835 C0234215 C0015967 C0042963 C0035508 C0018991 C0231890
C0003537, C0009024 C0231872 C0427055 C0221470 C0231530 C0522224 C0024031 C0277823
C0028756, C0848168 C0205254 C0002962 C0010200 C0847488 C0553668 C0020672 C0013404 C0744727 C0043144 C0700292 C0235634 C0424749
C0034186, C0015967 C0030193 C0085606 C0018965 C0042963 C0085593 C0011991 C0027497 C0000737 C0231528 C0015967 C0085593
C0014118, C0008033 C0205400 C0231528 C0277797 C0028081 C1517205 C0392680 C0085619 C0549483 C0020649 C0010200 C1513183 C0238844 C0043096 Â C0232118 C0086439
C0031039, C0232267 C0013404 C0392680 C0578150 C0018800 C0020649 C0241235 C0427055 C0030193 C0028961 C0312422 C0728899
C0001973, C0040822 C0233762 C0438696 C0424337 C0022107 C0150041 C0424000 C0233647 C0036572 C0237154 C0917801 C0041657 C0030318 C0238844 C0392680
C0032326, C0013404 C0425560 C0019079 C0010200 C0020440 C0037580 C0242453 C0085631
C0011206, C1273573 C0424092 C0020625 C0558089 C0424000 C0241526 C0233481 C0013144 C0233762 C0438696 C0015967 C0011991
C0027947, C1096646 C0038002 C0028081 C0277797 C0221198 C1260880 C0085593 C0010200 C0746619 C0020598 C0028961 C0427629 C0476273
